OBJECTID,ORIG_FID,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,Shape_Length,经度,纬度
256,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3024149,30.55506343
257,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3024252,30.55506146
258,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3024354,30.5550595
259,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3024457,30.55505754
260,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3024559,30.55505557
261,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3024662,30.55505361
262,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3024765,30.55505165
263,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3024867,30.55504968
264,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.302497,30.55504772
265,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3025072,30.55504576
266,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3025175,30.55504379
267,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3025277,30.55504183
268,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.302538,30.55503987
269,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3025483,30.5550379
270,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3025585,30.55503594
271,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3025688,30.55503398
272,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.302579,30.55503201
273,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3025893,30.55503005
274,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3025995,30.55502809
275,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3026098,30.55502612
276,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3026201,30.55502416
277,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3026303,30.5550222
278,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3026406,30.55502023
279,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3026508,30.55501827
280,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3026611,30.55501631
281,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3026713,30.55501434
282,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3026816,30.55501238
283,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3026919,30.55501042
284,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3027021,30.55500845
285,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3027121,30.55500537
286,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3027221,30.55500224
287,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.302732,30.55499912
288,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.302742,30.554996
289,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.302752,30.55499288
290,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3027619,30.55498976
291,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3027719,30.55498664
292,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3027819,30.55498352
